name,profile_page,date_of_birth,age,height,weight,spike,block
Ani Bozdeva,/en/teams/bul-bulgaria/players/ani-bozdeva?id=59903,30/01/1999,20,186,61,300,290
Borislava Saykova,/en/teams/bul-bulgaria/players/borislava-saykova?id=60127,14/07/2000,19,187,80,294,274
Kathryn Dimitrova,/en/teams/bul-bulgaria/players/kathryn-dimitrova?id=59905,27/11/1999,20,190,73,303,296
Aleksandra Milanova,/en/teams/bul-bulgaria/players/aleksandra-milanova?id=59911,04/07/2001,18,180,72,295,284
Monika Krasteva,/en/teams/bul-bulgaria/players/monika-krasteva?id=60119,09/05/1999,20,183,64,292,285
Elena Becheva,/en/teams/bul-bulgaria/players/elena-becheva?id=60114,30/05/1998,21,185,70,296,288
Polina Neykova,/en/teams/bul-bulgaria/players/polina-neykova?id=59906,07/10/1998,21,182,73,287,280
Vasilena Papanova,/en/teams/bul-bulgaria/players/vasilena-papanova?id=60121,02/02/1999,20,179,62,295,289
Velina Minkova,/en/teams/bul-bulgaria/players/velina-minkova?id=60120,02/03/1998,21,173,63,270,260
Djanis Saraivanova,/en/teams/bul-bulgaria/players/djanis-saraivanova?id=60122,20/08/1999,20,186,71,293,280
Emileta Racheva,/en/teams/bul-bulgaria/players/emileta-racheva?id=59907,26/11/1998,21,183,75,288,275
Mihaela Mihaylova,/en/teams/bul-bulgaria/players/mihaela-mihaylova?id=60126,22/05/1999,20,169,57,270,260
Nadin Zaatar,/en/teams/egy-egypt/players/nadin-zaatar?id=60094,25/08/1999,20,179,69,282,274
Nada Meawad,/en/teams/egy-egypt/players/nada-meawad?id=60270,12/04/1998,21,180,71,277,267
Youmna Sabik,/en/teams/egy-egypt/players/youmna-sabik?id=60279,21/08/1998,21,163,51,262,251
Mayar Mohamed,/en/teams/egy-egypt/players/mayar-mohamed?id=60272,05/02/2000,19,184,75,288,276
Noura Moawad,/en/teams/egy-egypt/players/noura-moawad?id=60106,12/04/1998,21,182,80,280,271
Aliaa Helal,/en/teams/egy-egypt/players/aliaa-helal?id=60112,01/01/2000,19,181,71,279,270
Hanya Elshebeny,/en/teams/egy-egypt/players/hanya-elshebeny?id=60111,06/06/1999,20,170,60,273,261
Nourallah Amin,/en/teams/egy-egypt/players/nourallah-amin?id=60282,25/11/2000,19,184,70,285,276
Habiba Khairy,/en/teams/egy-egypt/players/habiba-khairy?id=60109,16/12/1999,20,177,73,280,271
Hana Elmasry,/en/teams/egy-egypt/players/hana-elmasry?id=60099,20/07/2001,18,173,64,276,267
Salma Mahmoud,/en/teams/egy-egypt/players/salma-mahmoud?id=60113,04/02/1999,20,175,56,278,266
Dana Emam,/en/teams/egy-egypt/players/dana-emam?id=60110,04/10/2000,19,181,73,280,271
Uxue Amaya Guereca Parra,/en/teams/mex-mexico/players/uxue-amaya-guereca-parra?id=60471,12/02/2001,18,176,64,270,259
Alejandra Tapia Martinez,/en/teams/mex-mexico/players/alejandra-tapia-martinez?id=60465,08/03/1998,21,158,57,0,0
Alejandra Salinas Gonzalez,/en/teams/mex-mexico/players/alejandra-salinas-gonzalez?id=60463,04/04/1998,21,169,63,245,240
Yerania Paloma Gutierrez Sandoval,/en/teams/mex-mexico/players/yerania-paloma-gutierrez-sandoval?id=60478,13/01/1998,21,182,75,275,260
Karla Daniela Mireles Valdez,/en/teams/mex-mexico/players/karla-daniela-mireles-valdez?id=60472,25/01/2000,19,176,73,270,250
Kathya Paulina Garcia Chavez,/en/teams/mex-mexico/players/kathya-paulina-garcia-chavez?id=60469,06/03/1998,21,178,69,285,250
Francia Sanchez,/en/teams/mex-mexico/players/francia-sanchez?id=60464,28/08/1998,21,182,78,310,300
Joseline Landeros Palacios,/en/teams/mex-mexico/players/joseline-landeros-palacios?id=60461,20/12/2000,19,169,60,265,249
Samantha Paola Villegas Betancourt,/en/teams/mex-mexico/players/samantha-paola-villegas-betancourt?id=60481,08/09/1998,21,178,69,285,280
Karen Paola Rivera Herrera,/en/teams/mex-mexico/players/karen-paola-rivera-herrera?id=60473,22/05/1999,20,174,62,265,260
Karina Angelica Flores Gamez,/en/teams/mex-mexico/players/karina-angelica-flores-gamez?id=60468,16/08/1998,21,192,80,299,285
Alondra Amaro Rodriguez,/en/teams/mex-mexico/players/alondra-amaro-rodriguez?id=60467,09/06/1998,21,188,69,275,250
Angelina Lazarenko,/en/teams/rus-russia/players/angelina-lazarenko?id=58790,13/04/1998,21,193,80,320,305
Kseniia Smirnova,/en/teams/rus-russia/players/kseniia-smirnova?id=58796,24/04/1998,21,187,76,305,300
Anna Kotikova,/en/teams/rus-russia/players/anna-kotikova?id=59044,13/10/1999,20,185,71,306,300
Anastasia Stalnaya,/en/teams/rus-russia/players/anastasia-stalnaya?id=58797,06/01/1998,21,190,75,306,298
Olga Zubareva,/en/teams/rus-russia/players/olga-zubareva?id=59049,08/11/1998,21,189,74,305,297
Alina Podskalnaia,/en/teams/rus-russia/players/alina-podskalnaia?id=58793,09/06/1998,21,179,65,282,272
Aleksandra Oganezova,/en/teams/rus-russia/players/aleksandra-oganezova?id=58791,12/05/1998,21,173,65,287,266
Anastasiia Stankevichute,/en/teams/rus-russia/players/anastasiia-stankevichute?id=59045,02/05/1998,21,166,63,275,235
Victoriia Russu,/en/teams/rus-russia/players/victoriia-russu?id=58794,16/02/1999,20,193,70,311,305
Daria Ryseva,/en/teams/rus-russia/players/daria-ryseva?id=58795,05/03/1998,21,175,69,282,266
Elizaveta Kotova,/en/teams/rus-russia/players/elizaveta-kotova?id=58789,31/05/1998,21,186,81,303,289
Maria Vorobyeva,/en/teams/rus-russia/players/maria-vorobyeva?id=58798,24/02/1998,21,184,77,306,288
Hanyu Yang,/en/teams/chn-china/players/hanyu-yang?id=59516,12/10/1999,20,192,72,317,311
Peiyan Chen,/en/teams/chn-china/players/peiyan-chen?id=59518,16/09/1999,20,193,79,318,309
Yaqian Cai,/en/teams/chn-china/players/yaqian-cai?id=59506,29/06/1998,21,179,69,315,308
Yuqian Zhang,/en/teams/chn-china/players/yuqian-zhang?id=59505,18/08/1998,21,185,72,302,294
Xing Xie,/en/teams/chn-china/players/xing-xie?id=59515,28/11/1998,21,184,68,271,265
Ruige Guan,/en/teams/chn-china/players/ruige-guan?id=59502,25/10/1998,21,188,71,311,303
Qianqian Zang,/en/teams/chn-china/players/qianqian-zang?id=59504,14/08/1998,21,174,60,271,265
Xiaoqing Cai,/en/teams/chn-china/players/xiaoqing-cai?id=59517,05/04/1998,21,179,71,305,295
Han Wu,/en/teams/chn-china/players/han-wu?id=59514,23/04/1998,21,183,64,294,284
Jing Fang,/en/teams/chn-china/players/jing-fang?id=59507,27/07/1999,20,177,67,297,291
Xiaoting Xu,/en/teams/chn-china/players/xiaoting-xu?id=59520,21/01/1998,21,183,72,308,300
Jiayuan Liu,/en/teams/chn-china/players/jiayuan-liu?id=59510,09/05/1998,21,181,80,281,276
Yanlis Liliannis Feliz Sena,/en/teams/dom-dominican%20republic/players/yanlis-liliannis-feliz-sena?id=58806,03/06/2000,19,181,69,282,263
Pamela Maria Jorge Ubiera,/en/teams/dom-dominican%20republic/players/pamela-maria-jorge-ubiera?id=58811,26/11/1998,21,168,65,296,240
Hennesys Nathaly Lalane Tejeda,/en/teams/dom-dominican%20republic/players/hennesys-nathaly-lalane-tejeda?id=58812,10/04/2000,19,185,74,275,263
Vielka Michelle Peralta Luna,/en/teams/dom-dominican%20republic/players/vielka-michelle-peralta-luna?id=58815,13/04/1999,20,186,56,310,305
Yaneirys Rodriguez Duran,/en/teams/dom-dominican%20republic/players/yaneirys-rodriguez-duran?id=58818,26/06/2000,19,171,56,280,251
Mesalina Luz Del Sol Yosil Severino,/en/teams/dom-dominican%20republic/players/mesalina-luz-del-sol-yosil-severino?id=58820,18/07/2000,19,185,63,283,272
Natalia Martinez,/en/teams/dom-dominican%20republic/players/natalia-martinez?id=58813,25/11/2000,19,186,71,310,300
Geraldine Sthefany Gonzalez,/en/teams/dom-dominican%20republic/players/geraldine-sthefany-gonzalez?id=58807,18/04/2002,17,196,77,295,290
Madeline Jazmin Guillen Paredes,/en/teams/dom-dominican%20republic/players/madeline-jazmin-guillen-paredes?id=58808,04/06/2001,18,186,74,273,242
Yokaty Perez Flores,/en/teams/dom-dominican%20republic/players/yokaty-perez-flores?id=58816,06/08/1998,21,178,79,291,257
Lisbeth Lucia Rosario Martinez,/en/teams/dom-dominican%20republic/players/lisbeth-lucia-rosario-martinez?id=58819,26/05/1999,20,180,73,273,265
Erika Isabel Asencio Soriano,/en/teams/dom-dominican%20republic/players/erika-isabel-asencio-soriano?id=58801,02/04/2000,19,175,65,279,267
Flavia Montes,/en/teams/per-peru/players/flavia-montes?id=59983,22/11/2000,19,187,60,295,290
Nayeli Vilchez,/en/teams/per-peru/players/nayeli-vilchez?id=59990,27/06/2000,19,179,65,290,287
Maricarmen Guerrero,/en/teams/per-peru/players/maricarmen-guerrero?id=59976,17/01/1999,20,181,70,290,280
Nicole Abreu Erquinigo,/en/teams/per-peru/players/nicole-abreu-erquinigo?id=59971,27/03/1999,20,180,63,285,270
Ysabella Sanchez,/en/teams/per-peru/players/ysabella-sanchez?id=59987,02/07/1999,20,177,59,279,296
Katherine Regalado,/en/teams/per-peru/players/katherine-regalado?id=59986,11/03/1998,21,190,66,296,287
Thaisa Mc Leod,/en/teams/per-peru/players/thaisa-mc-leod?id=59982,01/01/2002,17,189,75,301,305
Kiara Montes,/en/teams/per-peru/players/kiara-montes?id=59984,13/01/2001,18,176,68,282,293
Leslie Leyva,/en/teams/per-peru/players/leslie-leyva?id=59979,06/12/1998,21,175,72,280,300
Besna Villegas,/en/teams/per-peru/players/besna-villegas?id=59991,30/10/1999,20,170,68,270,275
Aixa Vigil,/en/teams/per-peru/players/aixa-vigil?id=59989,23/09/2001,18,180,65,284,295
Yadhira Anchante,/en/teams/per-peru/players/yadhira-anchante?id=59972,19/11/2002,17,178,59,286,290
Zuzanna Gorecka,/en/teams/pol-poland/players/zuzanna-gorecka?id=59776,10/04/2000,19,181,63,301,284
Oliwia Baluk,/en/teams/pol-poland/players/oliwia-baluk?id=59774,17/05/2000,19,175,62,288,279
Aleksandra Lipska,/en/teams/pol-poland/players/aleksandra-lipska?id=59779,25/02/1998,21,185,80,304,285
Natalia Murek,/en/teams/pol-poland/players/natalia-murek?id=59782,08/09/1999,20,180,70,302,283
Alicja Grabka,/en/teams/pol-poland/players/alicja-grabka?id=59777,09/05/1998,21,178,62,290,280
Martyna Lukasik,/en/teams/pol-poland/players/martyna-lukasik?id=59780,26/11/1999,20,189,75,315,288
Julia Nowicka,/en/teams/pol-poland/players/julia-nowicka?id=59785,21/10/1998,21,174,58,295,278
Martyna Swirad,/en/teams/pol-poland/players/martyna-swirad?id=59790,05/01/1998,21,184,74,301,287
Kinga Rozynska,/en/teams/pol-poland/players/kinga-rozynska?id=59787,12/07/1998,21,190,70,308,289
Maria Stenzel,/en/teams/pol-poland/players/maria-stenzel?id=59789,25/11/1998,21,168,53,278,262
Aleksandra Gryka,/en/teams/pol-poland/players/aleksandra-gryka?id=59794,06/02/2000,19,190,71,302,278
Justyna Lysiak,/en/teams/pol-poland/players/justyna-lysiak?id=59781,20/01/1999,20,173,58,275,264
Diana Duarte Alecrim,/en/teams/bra-brazil/players/diana-duarte-alecrim?id=59554,22/02/1999,20,194,69,297,287
Lorena Giovana Viezel,/en/teams/bra-brazil/players/lorena-giovana-viezel?id=59555,21/07/1999,20,190,76,309,290
Glayce Kelly Tobias Vasconcelos,/en/teams/bra-brazil/players/glayce-kelly-tobias-vasconcelos?id=59576,28/01/1998,21,189,73,296,281
Nyeme Victória Alexandre Costa,/en/teams/bra-brazil/players/nyeme-vict%c3%b3ria-alexandre-costa?id=59553,11/10/1998,21,175,79,297,280
Amanda Rodrigues Sehn,/en/teams/bra-brazil/players/amanda-rodrigues-sehn?id=59567,16/07/1998,21,180,64,280,270
Karyna Malachias,/en/teams/bra-brazil/players/karyna-malachias?id=59564,26/10/1999,20,194,84,305,294
Karina Barbosa De Souza,/en/teams/bra-brazil/players/karina-barbosa-de-souza?id=59561,30/11/1998,21,182,65,294,276
Jackeline Moreno Figueiredo Dos Santos,/en/teams/bra-brazil/players/jackeline-moreno-figueiredo-dos-santos?id=59565,30/12/1999,20,174,67,286,271
Julia Isabelle Bergmann,/en/teams/bra-brazil/players/julia-isabelle-bergmann?id=59571,21/02/2001,18,196,78,301,289
Tainara Lemes Santos,/en/teams/bra-brazil/players/tainara-lemes-santos?id=59573,09/03/2000,19,190,81,306,289
Lorrayna Da Silva,/en/teams/bra-brazil/players/lorrayna-da-silva?id=59568,19/06/1999,20,185,62,306,286
Julia Araujo Almeida Holanda Moura,/en/teams/bra-brazil/players/julia-araujo-almeida-holanda-moura?id=59570,21/01/1998,21,181,68,286,276
Lianny Tamayo Canton,/en/teams/cub-cuba/players/lianny-tamayo-canton?id=59966,30/04/1999,20,178,58,295,290
Elizabeth Vicet Campos,/en/teams/cub-cuba/players/elizabeth-vicet-campos?id=59967,09/08/2000,19,173,63,293,284
Laura Beatriz Suarez Hernandez,/en/teams/cub-cuba/players/laura-beatriz-suarez-hernandez?id=59965,13/12/1998,21,185,75,304,292
Dalila Palma Rodriguez,/en/teams/cub-cuba/players/dalila-palma-rodriguez?id=59963,18/11/1999,20,182,62,301,285
Diaris Perez Ramos,/en/teams/cub-cuba/players/diaris-perez-ramos?id=59964,16/11/1998,21,182,75,304,295
Gretell Elena Moreno Borrero,/en/teams/cub-cuba/players/gretell-elena-moreno-borrero?id=59959,30/01/1998,21,183,68,287,280
Ailama Cese Montalvo,/en/teams/cub-cuba/players/ailama-cese-montalvo?id=59954,29/10/2000,19,188,58,322,308
Yamisleydis Viltres Pacheco,/en/teams/cub-cuba/players/yamisleydis-viltres-pacheco?id=59969,26/07/2001,18,189,73,247,244
Carmela Massip Mursuli,/en/teams/cub-cuba/players/carmela-massip-mursuli?id=59957,17/01/1998,21,181,65,304,295
Jessica Aguilera Carbajal,/en/teams/cub-cuba/players/jessica-aguilera-carbajal?id=59951,25/05/1999,20,184,68,311,302
Heidy Casanova Alvarez,/en/teams/cub-cuba/players/heidy-casanova-alvarez?id=59952,06/11/1998,21,184,78,244,240
Ivy May Vila Wittingham,/en/teams/cub-cuba/players/ivy-may-vila-wittingham?id=59968,22/07/2001,18,181,78,235,232
Katarina Lazovic,/en/teams/srb-serbia/players/katarina-lazovic?id=59714,12/09/1999,20,182,65,290,277
Ana Jaksic,/en/teams/srb-serbia/players/ana-jaksic?id=59712,10/03/1998,21,178,64,285,280
Ljubica Milojevic,/en/teams/srb-serbia/players/ljubica-milojevic?id=59717,13/02/1999,20,193,70,300,290
Jovana Kocic,/en/teams/srb-serbia/players/jovana-kocic?id=59713,24/02/1998,21,190,85,290,285
Anastasija Sekulic,/en/teams/srb-serbia/players/anastasija-sekulic?id=59719,31/07/1998,21,180,58,280,275
Tamara Radmilovic,/en/teams/srb-serbia/players/tamara-radmilovic?id=59718,09/06/1999,20,184,64,280,275
Andjela Veselinovic,/en/teams/srb-serbia/players/andjela-veselinovic?id=59721,05/02/1999,20,173,55,270,265
Vanja Bukilic,/en/teams/srb-serbia/players/vanja-bukilic?id=59711,13/06/1999,20,191,68,300,285
Sara Caric,/en/teams/srb-serbia/players/sara-caric?id=59856,01/02/2001,18,193,73,300,290
Katarina Jovic,/en/teams/srb-serbia/players/katarina-jovic?id=59887,01/10/1999,20,191,76,292,284
Sanja Djurdjevic,/en/teams/srb-serbia/players/sanja-djurdjevic?id=59857,25/03/1998,21,177,63,274,270
Jovana Mirosavljevic,/en/teams/srb-serbia/players/jovana-mirosavljevic?id=59858,16/01/2000,19,182,63,288,280
Brionne Butler,/en/teams/usa-usa/players/brionne-butler?id=59930,29/01/1999,20,195,77,329,324
Tiffany Clark,/en/teams/usa-usa/players/tiffany-clark?id=59932,18/02/1998,21,180,66,292,286
Elizabeth Thayer Hall,/en/teams/usa-usa/players/elizabeth-thayer-hall?id=59935,28/12/1999,20,191,77,312,300
Paige Hammons,/en/teams/usa-usa/players/paige-hammons?id=59936,21/10/1998,21,190,61,310,298
Regan Pittman,/en/teams/usa-usa/players/regan-pittman?id=59941,18/03/1998,21,195,85,315,308
Holly Carlton,/en/teams/usa-usa/players/holly-carlton?id=59931,14/05/1998,21,203,80,311,301
Ronika Stone,/en/teams/usa-usa/players/ronika-stone?id=59946,07/06/1998,21,193,78,315,300
Norene Iosia,/en/teams/usa-usa/players/norene-iosia?id=59948,27/05/1998,21,182,77,304,292
Mackenzi Welsh,/en/teams/usa-usa/players/mackenzi-welsh?id=59947,19/02/1998,21,185,70,316,314
Gabrielle Curry,/en/teams/usa-usa/players/gabrielle-curry?id=59949,12/09/1998,21,175,70,271,270
Rachael Kramer,/en/teams/usa-usa/players/rachael-kramer?id=59937,15/03/1998,21,208,78,325,313
Leah Edmond,/en/teams/usa-usa/players/leah-edmond?id=59934,13/02/1998,21,193,75,320,305
Valentina Andrea Gonzalez,/en/teams/arg-argentina/players/valentina-andrea-gonzalez?id=59865,23/02/1998,21,163,56,271,260
Greta Martinelli,/en/teams/arg-argentina/players/greta-martinelli?id=59868,29/04/1998,21,179,67,280,269
Agustina Oliva,/en/teams/arg-argentina/players/agustina-oliva?id=59875,24/09/1998,21,184,72,295,284
Azul Benitez,/en/teams/arg-argentina/players/azul-benitez?id=59862,05/02/1998,21,165,60,260,245
Daniela Veronica Nielson Ramella,/en/teams/arg-argentina/players/daniela-veronica-nielson-ramella?id=59873,19/02/1998,21,169,57,278,266
Anahi Florencia Tosi,/en/teams/arg-argentina/players/anahi-florencia-tosi?id=59881,10/07/1998,21,181,60,290,272
Candela Nota,/en/teams/arg-argentina/players/candela-nota?id=59874,01/03/1999,20,182,60,280,271
Agostina Denisse Soria,/en/teams/arg-argentina/players/agostina-denisse-soria?id=59879,09/10/1998,21,179,65,279,271
Julieta Cervini,/en/teams/arg-argentina/players/julieta-cervini?id=59864,13/03/1999,20,182,69,283,273
Agostina Sol Beltramino,/en/teams/arg-argentina/players/agostina-sol-beltramino?id=59861,25/04/1999,20,180,65,283,283
Maria Agostina Pelozo,/en/teams/arg-argentina/players/maria-agostina-pelozo?id=59876,19/11/1999,20,180,56,277,263
Fiamma Arabela Biain,/en/teams/arg-argentina/players/fiamma-arabela-biain?id=59863,30/01/1998,21,171,67,279,266
Nkemdilim Ruth Terry Enweonwu,/en/teams/ita-italy/players/nkemdilim-ruth-terry-enweonwu?id=59730,12/05/2000,19,187,86,339,309
Jenninfer Boldini,/en/teams/ita-italy/players/jenninfer-boldini?id=59728,06/04/1999,20,187,68,297,277
Martina Ferrara,/en/teams/ita-italy/players/martina-ferrara?id=59731,28/01/1999,20,168,70,276,260
Rachele Morello,/en/teams/ita-italy/players/rachele-morello?id=59729,07/11/2000,19,182,77,302,296
Marina Lubian,/en/teams/ita-italy/players/marina-lubian?id=59603,11/04/2000,19,195,73,318,300
Giorgia Zannoni,/en/teams/ita-italy/players/giorgia-zannoni?id=59614,11/02/1998,21,175,68,284,270
Elena Pietrini,/en/teams/ita-italy/players/elena-pietrini?id=59612,17/03/2000,19,190,73,330,306
Vittoria Alice Piani,/en/teams/ita-italy/players/vittoria-alice-piani?id=59611,12/02/1998,21,187,78,316,296
Alice Pamio,/en/teams/ita-italy/players/alice-pamio?id=59610,15/01/1998,21,179,66,302,278
Giulia Maria Mancini,/en/teams/ita-italy/players/giulia-maria-mancini?id=59604,23/05/1998,21,183,68,302,284
Giulia Melli,/en/teams/ita-italy/players/giulia-melli?id=59607,08/01/1998,21,184,70,304,282
Alexandra Botezat,/en/teams/ita-italy/players/alexandra-botezat?id=59602,03/08/1998,21,197,75,316,304
Ai Kurogo,/en/teams/jpn-japan/players/ai-kurogo?id=59094,14/06/1998,21,180,69,306,295
Shiori Aratani,/en/teams/jpn-japan/players/shiori-aratani?id=59093,22/09/1998,21,173,61,298,275
Tamaki Matsui,/en/teams/jpn-japan/players/tamaki-matsui?id=59102,10/01/1998,21,171,63,280,265
Erina Ogawa,/en/teams/jpn-japan/players/erina-ogawa?id=59708,03/06/1998,21,178,61,295,280
